Speaker,Talk(s)
Wajahat Ali,The case for having kids (TED2019)
Trevor Aaronson,How this FBI strategy is actually creating US-based terrorists (TED2015)
Chris Abani,Telling stories from Africa (TEDGlobal 2007)  On humanity (TED2008)
Hawa Abdi,Mother and daughter doctor-heroes (TEDWomen 2010)
Marc Abrahams,"A science award that makes you laugh, then think (TEDMED 2014)"
J. J. Abrams,The mystery box (TED2007)
José Antonio Abreu,The El Sistema music revolution (TED2009) TED Prize
David Abrey,All you need is justice (TEDxBrisbane 2011)
Newton Aduaka,The story of Ezra (TEDGlobal 2007)
Anant Agarwal,Why massive open online courses (still) matter (TED2013)
Shai Agassi,A new ecosystem for electric cars (TED2009)
Blaise Agüera y Arcas,How PhotoSynth can connect the world's images (TED2007)  Augmented-reality maps (TED2010)
David Agus,A new strategy in the war on cancer (TEDMED 2009)
Omar Ahmad,Political change with pen and paper (TED2010)
Al-Mayassa bint Hamad bin Khalifa Al-Thani,"Globalizing the local, localizing the global (TEDWomen 2010)"
Manal al-Sharif,A Saudi woman who dared to drive (TEDGlobal 2013)
Madeleine Albright,On being a woman and a diplomat (TEDWomen 2010)
Zeresenay Alemseged,The search for humanity's roots (TEDGlobal 2007)
Joey Alexander,An 11-year-old prodigy performs old-school jazz (TED2015)
Scott Allen,An Architectural Ecosystem of the Future (TEDX2016)
Isabel Allende,Tales of passion (TED2007)  How to live passionately—no matter your age (TED2014)
Uri Alon,Why truly innovative science demands a leap into the unknown (TEDGlobal 2013)
Marco Alverà,The surprising ingredient that makes businesses work better (TED2018)
Grimanesa Amoros,Following the Lights (TEDGlobal 2014)[9][10]
Anas Aremeyaw Anas,"How I named, shamed and jailed (TED2013)"
Lemon Andersen,Please don't take my Air Jordans (TEDYouth 2011)
Ray Anderson,The business logic of sustainability (TED2009)
Jack Andraka,A promising test for pancreatic cancer ... from a teenager (TED2013)
Simon Anholt,Which country does the most good for the world? (TEDSalon Berlin 2014)
Michael Anti,Behind the great firewall of China (TEDGlobal 2012)
Paola Antonelli,Treat design as art (TED2007)  Why I brought Pac-Man to MoMA (TEDSalon NY2013)
Kwame Anthony Appiah,Is religion good or bad? (This is a trick question) (TEDSalon NY2014)
Alejandro Aravena,My architectural philosophy? Bring the community into the process (TEDGlobal 2014)
Dan Ariely,Our buggy moral code (TED2009)  Beware conflicts of interest (TED2011)  How equal do we want the world to be? You'd be surprised (TED2015)
Karen Armstrong,My wish: The Charter for Compassion (TED2008) TED Prize  Let's revive the Golden Rule (TEDGlobal 2009)
Yann Arthus-Bertrand,A wide-angle view of fragile Earth (TED2009)
Kristen Ashburn,The face of AIDS in Africa (TED2003)
Julian Assange,Why the world needs WikiLeaks (TEDGlobal 2010)
Anthony Atala,Growing new organs (TEDMED 2009)  Printing a human kidney (TED2011)
George Ayittey,Africa's cheetahs versus hippos (TEDGlobal 2007)
Iwan Baan,Ingenious homes in unexpected places (TEDCity2.0 2013)
Julia Bacha,Pay attention to nonviolence (TEDGlobal 2011)
Uldus Bakhtiozina,Wry photos that turn stereotypes upside down (TED2014)
Kevin Bales,How to combat modern slavery (TED2010)
Robert Ballard,The astonishing hidden world of the deep ocean (TED2008)
James Balog,Time-lapse proof of extreme ice loss (TEDGlobal 2009)
Chris Bangle,Great cars are great art (TED2002)
Marian Bantjes,Intricate beauty by design (TED2010)
Massimo Banzi,How Arduino is open-sourcing imagination (TEDGlobal 2012)
Richard Baraniuk,The birth of the open-source learning revolution (TED2006)
Benjamin Barber,Why mayors should rule the world (TEDGlobal 2013)
Dan Barber,How I fell in love with a fish (TED2010)
Thomas P. M. Barnett,Let's rethink America's military strategy (TED2005)
Keith Barry,Brain magic (TED2004)
Jake Barton,The museum of you (TEDSalon NY2013)
Bonnie Bassler,"How bacteria ""talk"" (TED2009)"
Ayah Bdeir,"Building blocks that blink, beep and teach (TED2012)"
Beardyman,The polyphonic me (TED2013)
Kiran Bedi,A police chief with a difference (TEDWomen 2010)
Eli Beer,The fastest ambulance? A motorcycle (TEDMED 2013)
Yves Béhar,Designing objects that tell stories (TED2008)  A supercharged motorcycle design (TED2009)
Isabel Behncke,"Evolution's gift of play, from bonobo apes to humans (TED2011)"
Maya Beiser,A cello with many voices (TED2011)
"Joe Belfiore (as ""Joole Ferbie"")",The Game (TED2004)
Arthur T. Benjamin,"A performance of ""Mathemagic"" (TED2005)  Teach statistics before calculus! (TED2009)  The magic of Fibonacci numbers (TEDGlobal 2013)"
Katie Bender,Conquering uncertainty with tenacity (TED2017)
Yochai Benkler,The new open-source economics (TEDGlobal 2005)
Amanda Bennett,We need a heroic narrative for death (TEDMED 2013)
Janine Benyus,Biomimicry's surprising lessons from nature's engineers (TED2005)  Biomimicry in action (TEDGlobal 2009)
Eric Berlow,Simplifying complexity (TEDGlobal 2010)  Mapping ideas worth spreading (TED2013) talk with Sean Gourley
Seth Berkley,HIV and flu — the vaccine strategy (TED2010)
Tim Berners-Lee,The next web (TED2009)  The year open data went worldwide (TED2010)  A Magna Carta for the web (TED2014)
Alexander Betts,Our refugee system is failing. Here's how we can fix it (TED2016)
Jeff Bezos,The electricity metaphor for the web's future (TED2003)
Harsha Bhogle,"The rise of cricket, the rise of India (TEDIndia 2009)"
Sanford Biggers,An artist's unflinching look at racial violence (TED2016)
David Binder,The arts festival revolution (TEDGlobal 2012)
Andrew Bird,A one-man orchestra of the imagination (TED2010)
Tim Birkhead,The early birdwatchers (TED2010)
Mina Bissell,Experiments that point to a new understanding of cancer (TEDGlobal 2012)
Susan Blackmore,"Memes and ""temes"" (TED2008)"
David Blaine,How I held my breath for 17 minutes (TEDMED 2009)
Sarah-Jayne Blakemore,The mysterious workings of the adolescent brain (TEDGlobal 2012)
Becky Blanton,The year I was homeless (TEDGLOBAL Oxford England 2009)
Paul Bloom,The origins of pleasure (TEDGlobal 2011)  Can prejudice ever be a good thing? (TEDSalon NY2014)
Kwabena Boahen,A computer that works like the brain (TEDGlobal 2007)
David Bolinsky,Visualizing the wonder of a living cell (TED2007)
Bono,"My wish: Three actions for Africa (TED2005) TED Prize  The good news on poverty (Yes, there's good news) (TED2013)"
Phil Borges,Photos of endangered cultures (TED2006)
Shukla Bose,Teaching one child at a time (TEDIndia 2009)
Penelope Boston,There might just be life on Mars (TED2006)
Nick Bostrom,A philosophical quest for our biggest problems (TEDGlobal 2005)  What happens when our computers get smarter than we are? (TED2015)
Tabetha Boyajian,The most mysterious star in the universe (TED2016)
Laurel Braitman,"Depressed dogs, cats with OCD — what animal madness means for us humans (TEDSalon NY2014)"
Stewart Brand,The Long Now (TED2004)  What squatter cities can teach us (TED2006)  4 environmental 'heresies' (TED@State 2009)  Debate: Does the world need nuclear energy? (TED2010)  The dawn of de-extinction. Are you ready? (TED2013)
Richard Branson,"Life at 30,000 feet (TED2007)"
Cynthia Breazeal,The rise of personal robots (TEDWomen 2010)
Rory Bremner,A one-man world summit (TEDGlobal 2009)
Kevin Briggs,The bridge between suicide and life (TED2014)
Larry Brilliant,My wish: Help me stop pandemics (TED2006) TED Prize
Sergey Brin,The genesis of Google (TED2004)  Why Google Glass? (TED2013)
Heather Brooke,My battle to expose government corruption (TEDGlobal 2012)
Arthur C. Brooks,A conservative's plea: Let's work together (TED2016)
David Brooks,The social animal (TED2011)  Should you live for your résumé ... or your eulogy? (TED2014)
Rodney Brooks,Robots will invade our lives (TED2003)  Why we will rely on robots (TED2013)
Brené Brown,Listening to shame (TED2012)
Gordon Brown,Wiring a web for global good (TEDGlobal 2009)  Global ethic vs. national interest (TEDGlobal 2009)
Sunni Brown,"Doodlers, unite! (TED2011)"
Erik Brynjolfsson,The key to growth? Race with the machines (TED2013)
Leah Buechley,"How to ""sketch"" with electronics (TEDYouth 2011)"
Bruce Bueno de Mesquita,A prediction for the future of Iran (TED2009)
Amanda Burden,How public spaces make cities work (TED2014)
Chris Burkard,The joy of surfing in ice-cold water (TED2015)
Nadine Burke Harris,How childhood trauma affects health across a lifetime (TEDMED 2014)
Larry Burns,The future of cars (TED2005)
Stephen Burt,Why people need poetry (TEDGlobal 2013)
Edward Burtynsky,My wish: manufactured landscapes and green education (TED2005) TED Prize Photographing the landscape of oil (TEDGlobal 2009)
David Byrne,"""(Nothing But) Flowers"" with string quartet (TED2010)"
Susan Cain,The power of introverts (TED2012)
David Cameron,The next age of government (TED2010)
James Cameron,Before Avatar ... a curious boy (TED2010)
Thomas P. Campbell,Weaving narratives in museum galleries (TED2012)
Geoffrey Canada,Our failing schools. Enough is enough! (TED Talks Education 2013)
Homaro Cantu,Cooking as alchemy (TED2011)
Rufus Cappadocia,Blindfold origami and cello (TED2008)
David Carson,Design and discovery (TED2003)
Jimmy Carter,Why I believe the mistreatment of women is the number one human rights abuse (TEDWomen 2015)
Majora Carter,Greening the ghetto (TED2006 and TED2022)
Matthew Carter,My life in typefaces (TED2014)
Jamais Cascio,Tools for a better world (TED2006)
Vint Cerf,The interspecies internet? An idea in progress (TED2013)
David Chalmers,How do you explain consciousness? (TED2014)
Leslie T. Chang,The voices of China's workers (TEDGlobal 2012)
Ruth Chang,How to make hard choices (TEDSalon NY2014)
Patrick Chappatte,The power of cartoons (TEDGlobal 2010)
Robin Chase,"The idea behind Zipcar (and what comes next) (TED2007)  Excuse me, may I rent your car? (TEDGlobal 2012)"
Tom Chatfield,7 ways games reward the brain (TEDGlobal 2010)
Jane Chen,A warm embrace that saves lives (TEDIndia 2009)
Tracy Chevalier,Finding the story inside the painting (TEDSalon London Spring 2012)
Jan Chipchase,The anthropology of mobile phones (TED2007)
Nicholas A. Christakis,The hidden influence of social networks (TED2010)  How social networks predict epidemics (TED@Cannes 2010)
David Christian,The history of our world in 18 minutes (TED2011)
George M. Church,Synthetic Life (TED2010)  Synthetic Personal Genomes (TEDMED 2010)
Jok Church,A circle of caring (TED2007)
Bill Clinton,My wish: Rebuilding Rwanda (TED2007) TED Prize
Paul Collier,"The ""bottom billion"" (TED2008)  New rules for rebuilding a broken nation (TED@State 2009)"
Billy Collins,"Everyday moments, caught in time (TED2012)  Two poems about what dogs think (probably) (TED2014)"
Francis Collins,We need better drugs — now (TEDMED 2012)
Chip Conley,Measuring what makes life worthwhile (TED2010)
Mick Cornett,How an obese town lost a million pounds (TEDMED 2013)
Fabien Cousteau,What I learned from spending 31 days underwater (TEDGlobal 2014)
Steven Cowley,Fusion is energy's future (TEDGlobal 2009)
Brian Cox,CERN's supercollider (TED2008)  What went wrong at the LHC (TED2009)  Why we need the explorers (TEDSalon London 2010)
Lee Cronin,Making matter come alive (TEDGlobal 2011)  Print your own medicine (TEDGlobal 2012)
Catherine Crump,The small and surprisingly dangerous detail the police track about you (TEDGlobal 2014)
Teddy Cruz,How architectural innovations migrate across borders (TEDGlobal 2013)
Mihaly Csikszentmihalyi,"Flow, the secret to happiness (TED2004)"
Amy Cuddy,Your body language shapes who you are (TEDGlobal 2012)
Drew Curtis,How I beat a patent troll (TED2012)
Matt Cutts,Try something new for 30 days (TED2011)
Raffaello D'Andrea,The astounding athletic power of quadcopters (TEDGlobal 2013) Meet the dazzling flying machines of the future (TED2016)
Antonio Damasio,The quest to understand consciousness (TED2011)
Peter Daszak,What diseases come from animals? (TEDMED 2010)
Tal Danino,Programming bacteria to detect cancer (and maybe treat it) (TED2015)
Adam Davidson,What we learned from teetering on the fiscal cliff (TEDSalon NY2012)
Joshua Davis,Organic (TED2005)[11]
Wade Davis,Dreams from endangered cultures (TED2003)  The World Wide Web of belief and ritual (TED2008)  Gorgeous photos of a backyard wilderness worth saving (TED2012)
Abha Dawesar,"Life in the ""digital now"" (TEDGlobal 2013)"
Richard Dawkins,Militant atheism (TED2002)  Why the universe seems so strange (TEDGlobal 2005)
Alain de Botton,"A kinder, gentler philosophy of success (TEDGlobal 2009)  Atheism 2.0 (TEDGlobal 2011)"
Aubrey de Grey,A roadmap to end aging (TEDGlobal 2005)
Danielle de Niese,A flirtatious aria (TEDGlobal 2011)
Joachim de Posada,Don't eat the marshmallow! (TED2009)
Anna Deavere Smith,Four American characters (TED2005)
Christopher deCharms,A look inside the brain in real time (TED2008)
Carmen Agra Deedy,"Once upon a time, my mother ... (TED2005)"
Laura Deming,How can science and business team up for the long (health) haul? (TEDMED2013)
Daniel Dennett,"Dangerous memes (TED2002)  The illusion of consciousness (TED2003)  Let's teach religion — all religion — in schools (TED2006)  Cute, sexy, sweet, funny (TED2009)"
Felix Dennis,Odes to vice and consequences (TED2004)
Joe DeRisi,Solving medical mysteries (TED2006)
Joseph DeSimone,What if 3D printing was 100x faster? (TED2015)
Brian Dettmer,Old books reborn as art (TEDYouth 2014)
David Deutsch,Chemical scum that dream of distant quasars (TEDGlobal 2005)  A new way to explain explanation (TEDGlobal 2009)
Peter Diamandis,Our next giant leap (TEDGlobal 2005)  Stephen Hawking's zero g flight (TED2008)  Abundance is our future (TED2012)
Jared Diamond,Why do societies collapse? (TED2003)  How societies can grow old better (TED2013)
Niels Diffrient,Rethinking the way we sit down (TED2002)
John Doerr,Salvation (and profit) in greentech (TED2007)
Thomas Dolby,"Cape Breton fiddling in reel time (TED2002)  ""What You've Got"" (TED2003)  ""La Vie en Rose"" (TED2004)  ""Love Is a Loaded Pistol"" (TED2010)  ""(Nothing But) Flowers"" with string quartet (TED2010)"
Liza Donnelly,Drawing on humor for change (TEDWomen 2010)
Peter Donnelly,How juries are fooled by statistics (TEDGlobal 2005)
Dale Dougherty,We are makers (TED@MotorCity 2011)
Marcus du Sautoy,"Symmetry, reality's riddle (TEDGlobal 2009)"
R. Luke DuBois,Insightful human portraits made from data (TED2016)
Angela Duckworth,The key to success? Grit (TED Talks Education 2013)
Gustavo Dudamel,El Sistema's top youth orchestra (TED2009)
Esther Duflo,Social experiments to fight poverty (TED2010)
Regina E. Dugan,From mach-20 glider to hummingbird drone (TED2012)
Benjamin B. Dunlap,The lifelong learner (TED2007)
Denis Dutton,A Darwinian theory of beauty (TED2010)
Freeman Dyson,Let's look for life in the outer solar system (TED2003)
George Dyson,The story of Project Orion (TED2002)  The birth of the computer (TED2003)
David Eagleman,Can we create new senses for humans? (TED2015)
Sylvia Earle,My wish: protect our oceans (TED2009) TED Prize
Mick Ebeling,The invention that unlocked a locked-in artist (TEDActive 2011)
Roger Ebert,Remaking my voice (TED2011)
Kenichi Ebina,My magic moves (TED2007)
Janet Echelman,Taking imagination seriously (TED2011)
Dave Eggers,My wish: once upon a school (TED2008) TED Prize
Ron Eglash,The fractals at the heart of African designs (TEDGlobal 2007)
Einstein the Parrot,"A talking, squawking parrot (TED2006)"
Jonathan Eisen,Meet your microbes (TEDMED 2012)
Shereen El Feki,Pop culture in the Arab world (TEDGlobal 2009)  A little-told tale of sex and sensuality (TEDGlobal 2013)
Rana el Kaliouby,This app knows how you feel — from the look on your face (TEDWomen 2015)
May El-Khalil,Making peace is a marathon (TEDGlobal 2013)
Hasan M. Elahi,"FBI, here I am! (TEDGlobal 2011)"
Keren Elazari,Hackers: the Internet's immune system (TED2014)
Ric Elias,3 things I learned while my plane crashed (TED2011)
Olafur Eliasson,Playing with space and light (TED2009)
Christopher Emdin,Teach teachers how to create magic (TED@NYC 2013)
Juan Enríquez,"The life code that will reshape the future (TED2003)  Using biology to rethink the energy challenge (TEDSalon 2007 Hot Science)  The next species of human (TED2009)  Your online life, permanent as a tattoo (TED2013)"
Eve Ensler,"Happiness in body and soul (TED2004)  What security means to me (TEDGlobal 2005)  Embrace your inner girl (TEDIndia 2009)  Suddenly, my body (TEDWomen 2010)"
David Epstein,"Are athletes really getting faster, better, stronger? (TED2014)"
Nancy Etcoff,Happiness and its surprises (TED2004)
Ethel,"A string quartet plays ""Blue Room"" (TED2006)  ""(Nothing But) Flowers"" with string quartet (TED2010)"
Hugh Evans,What does it mean to be a citizen of the world? (TED2016)
Paul W. Ewald,Can we domesticate germs? (TED2007)
Corneille Ewango,A hero of the Congo forest (TEDGlobal 2007)
Tony Fadell,The first secret of design is ... noticing (TED2015)
James H. Fallon,Exploring the mind of a killer (TED2009)
Brian Farrell,Building a Facebook of biodiversity for the island of Hispaniola (TED2005)[12]
Negin Farsad,A highly scientific taxonomy of haters (TED2016)
Bruce Feiler,The council of dads (TEDMED 2010) Agile programming — for your family (TEDSalon NY2013)
Noah Feldman,Politics and religion are technologies (TED2003)
Craig Fenton,Humanity in a Digital Age (TED2021)
Niall Ferguson,The 6 killer apps of prosperity (TEDGlobal 2011)
Bran Ferren,"To create for the ages, let's combine art and engineering (TED2014) Reading & writing is a fad (TED-NY) There's no bits like show bits (TED2)"
America Ferrera,My identity is a superpower - not an obstacle (TED2019)
Harvey V. Fineberg,Are we ready for neo-evolution? (TED2011)
Ron Finley,A guerilla gardener in South Central LA (TED2013)
Stuart Firestein,The pursuit of ignorance (TED2013)
Robert Fischell,My wish: three unusual medical inventions (TED2005) TED Prize
Helen Fisher,"Why we love, why we cheat (TED2006)  The brain in love (TED2008)"
Gary William Flake,Is Pivot a turning point for web exploration (TED2010)
Charles Fleischer,All things are Moleeds (TED2005)
James Flynn,Why our IQ levels are higher than our grandparents' (TED2013)
Joshua Foer,Feats of memory anyone can do (TED2012)
William Clay Ford Jr.,A future beyond traffic gridlock (TED2011)
Vicky Forster,What can cancer survivors teach us about cancer treatment? (TED2017)
Russell Foster,Why do we sleep? (TEDGlobal 2013)
Cary Fowler,"One seed at a time, protecting the future of food (TEDGlobal 2009)"
John Francis,Walk the earth ... my 17-year vow of silence (TED2008)
Ze Frank,Nerdcore comedy (TED2004)  My web playroom (TEDGlobal 2010)  Are you human? (TED2014)
LaToya Ruby Frazier,A visual history of inequality in industrial America (TED2015)
Chrystia Freeland,The rise of the new global super-rich (TEDGlobal 2013)
Louise Fresco,We need to feed the whole world (TED2009)
Stephen Friend,"The hunt for ""unexpected genetic heroes"" (TED2014)"
Eleni Zaude Gabre-Madhin,A commodities exchange for Ethiopia (TEDGlobal 2007)
Peter Gabriel,Fight injustice with raw video (TED2006)  The interspecies internet? An idea in progress (TED2013)
Greg Gage,The cockroach beatbox (TEDYouth 2011)  Backyard brains: the neurorevolution (TED2012)  The RoboRoach (TEDGlobal 2013)[13]  How to control someone else's arm with your brain (TED2015)  Electrical experiments with plants that count and communicate (TED2017) DIY neuroscience (TED Series 2018)[14]
Cindy Gallop,"Make love, not porn (TED2009)[15]"
Jessa Gamble,Our natural sleep cycle (TEDGlobal 2010)
Lisa Gansky,"The future of business is the ""mesh"" (TED@MotorCity 2011)"
Arthur Ganson,Moving sculpture (TED2002)
Laurie Garrett,Lessons from the 1918 flu (TED2007)
Bill Gates,"Mosquitos, malaria and education (TED2009)  Innovating to zero! (TED2010)  How state budgets are breaking US schools (TED2011)  Teachers need real feedback (TED Talks Education 2013)  Why giving away our wealth has been the most satisfying thing we've done (TED2014)  The next outbreak? We’re not ready (TED2015)"
Melinda Gates,Why giving away our wealth has been the most satisfying thing we've done (TED2014)
Theaster Gates,"How to revive a neighborhood: with imagination, beauty and art (TED2015)"
Atul Gawande,How do we heal medicine? (TED2012)
Roxane Gay,Confessions of a bad feminist (TEDWomen 2015)
Leymah Gbowee,"Unlock the intelligence, passion, greatness of girls (TED2012)"
James Geary,Metaphorically speaking (TEDGlobal 2009)
Joe Gebbia,How Airbnb designs for trust (TED2016)
Ueli Gegenschatz,Extreme wingsuit flying (TED2009)
Frank Gehry,"My days as a young rebel (TED1990)  A master architect asks, Now what? (TED2002)"
Murray Gell-Mann,"Beauty, truth and ... physics? (TED2007)  The ancestor of language (TED2007)"
Rose George,Let's talk crap. Seriously. (TED2013)  Inside the secret shipping industry (TED@BCG Singapore 2013)
Neil Gershenfeld,Unleash your creativity in a Fab Lab (TED2006)  The interspecies internet? An idea in progress (TED2013)
Mohammad Ashraf Ghani,How to rebuild a broken state (TEDGlobal 2005)
Pankaj Ghemawat,"Actually, the world isn't flat (TEDGlobal 2012)"
Andrea M. Ghez,The hunt for a supermassive black hole (TEDGlobal 2009)
Wael Ghonim,Inside the Egyptian revolution (TED2011)
Gabby Giffords,Be passionate. Be courageous. Be your best. (TED2014)
Daniel Gilbert,The surprising science of happiness (TED2004)  Why we make bad decisions (TEDGlobal 2005)  The psychology of your future self (TED2014)
Elizabeth Gilbert,"Your elusive creative genius (TED2009)  Success, failure and the drive to keep creating (TED2014)"
Paul Gilding,The Earth is full (TED2012)
Anand Giridharadas,A tale of two Americas. And the mini-mart where they collided (TED2015)
Malcolm Gladwell,"Choice, happiness and spaghetti sauce (TED2004)  The strange tale of the Norden bombsight (TEDGlobal 2011)  The unheard story of David and Goliath (TEDSalon NY2013)"
Milton Glaser,Using design to make ideas new (TED1998)
Evelyn Glennie,How to truly listen (TED2003)
Misha Glenny,How global crime networks work (TEDGlobal 2009)  Hire the hackers! (TEDGlobal 2011)
Seth Godin,How to get your ideas to spread (TED2003)  The tribes we lead (TED2009)
Alice Goffman,How we're priming some kids for college — and others for prison (TED2015)
Ben Goldacre,Battling bad science (TEDGlobal 2011)  What doctors don't know about the drugs they prescribe (TEDMED 2012)
Thelma Golden,How art gives shape to cultural change (TED2009)
Ian Goldin,Navigating our global future (TEDGlobal 2009)
Daniel Goldstein,The battle between your present and future self (TEDSalon NY2011)
Rebecca Goldstein,The long reach of reason (TED2012)
Daniel Goleman,Why aren't we more compassionate? (TED2007)
Charmian Gooch,Meet global corruption's hidden players (TEDGlobal 2013)  My wish: To launch a new era of openness in business (TED2014) TED Prize
Jane Goodall,What separates us from chimpanzees? (TED2002)  How humans and animals can live together (TEDGlobal 2007)
Doris Kearns Goodwin,Lessons from past presidents (TED2008)
Alison Gopnik,What do babies think? (TEDGlobal 2011)
Deborah M. Gordon,"The emergent genius of ant colonies (TED2003)  What ants teach us about the brain, cancer and the Internet (TED2014)"
Robert J. Gordon,"The death of innovation, the end of growth (TED2013)"
Al Gore,Averting the climate crisis (TED2006)  New thinking on the climate crisis (TED2008)  What comes after An Inconvenient Truth? (TED2009)
Antony Gormley,"Sculpted space, within and without (TEDGlobal 2012)"
Jon Gosier,"The problem with ""trickle-down techonomics"" (TEDGlobal 2014)"
Billy Graham,On technology and faith (TED1998)
Temple Grandin,The world needs all kinds of minds (TED2010)
Jennifer Granholm,A clean energy proposal — race to the top! (TED2013)
Lennart Green,Close-up card magic with a twist (TED2005)
Brian Greene,Making sense of string theory (TED2005)  Is our universe the only universe? (TED2012)
Glenn Greenwald,Why privacy matters (TEDGlobal 2014)
