Speaker,Talk(s)
Saul Griffith,Everyday inventions (TED2006)  High-altitude wind energy from kites! (TED2009)
Bill Gross,A solar energy system that tracks the sun (TED2003)  The single biggest reason why startups succeed (TED2015)
Ron Gutman,The hidden power of smiling (TED2011)
Chris Hadfield,What I learned from going blind in space (TED2014)
Jonathan Haidt,"The moral roots of liberals and conservatives (TED2008)  Religion, evolution, and the ecstasy of self-transcendence (TED2012)  How common threats can make common (political) ground (TEDSalon NY2012)"
Joan Halifax,Compassion and the true meaning of empathy (TEDWomen 2010)
Suheir Hammad,"Poems of war, peace, women, power (TEDWomen 2010)"
Robert Hammond,Building a park in the sky (TED2011)
Jefferson Han,The radical promise of the multi-touch interface (TED2006)
Nick Hanauer,"Who are the job creators? (TED2012)[16][17]  Beware, fellow plutocrats, the pitchforks are coming (TEDSalon NY2014)"
Herbie Hancock,An all-star set (TED2009)
Handspring Puppet Company,The genius puppetry behind War Horse (TED2011)
James Hansen,Why I must speak out about climate change (TED2012)
Phil Hansen,Embrace the shake (TED2013)
Michael Hansmeyer,Building unimaginable shapes (TEDGlobal 2012)
David Hanson,"Robots that ""show emotion"" (TED2009)"
Yuval Harari,What explains the rise of humans? (TEDGlobalLondon 2015)
Neil Harbisson,I listen to color (TEDGlobal 2012)
John Hardy,My green school dream (TEDGlobal 2010)
Tim Harford,"Trial, error and the God complex (TEDGlobal 2011)"
Honor Harger,A history of the universe in sound (TEDSalon London Spring 2011)
Johann Hari,Everything you think you know about addiction is wrong (TEDGlobalLondon 2015)
Jonathan Harris,The Web's secret stories (TED2007)  The web as art (TED2007)
Sam Harris,Science can answer moral questions (TED2010)
Stefon Harris,There are no mistakes on the bandstand (TEDSalon NY2011)
Del Harvey,Protecting Twitter users (sometimes from themselves) (TED2014)
Gary Haugen,The hidden reason for poverty the world needs to address now (TED2015)
Graham Hawkes,A flight through the ocean (TED2005)
Stephen Hawking,Questioning the universe (TED2008)
Jeff Hawkins,How brain science will change computing (TED2003)
Cheryl Hayashi,The magnificence of spider silk (TED2010)
Tyrone Hayes,The toxic baby (TEDWomen 2010)
Lesley Hazleton,The doubt essential to faith (TEDGlobal 2013)
Charles Hazlewood,Trusting the ensemble (TEDGlobal 2011)
Imogen Heap,"""Wait It Out"" (TEDGlobal 2009)"
Thomas Heatherwick,Building the Seed Cathedral (TED2011)
Margaret Heffernan,Dare to disagree (TEDGlobal 2012)  Why it's time to forget the pecking order at work (TEDWomen 2015)
Jeremy Heimans,What new power looks like (TEDSalon Berlin 2014)
Shea Hembrey,How I became 100 artists (TED2011)
Hugh Herr,"The new bionics that let us run, climb and dance (TED2014)"
Erik Hersman,Reporting crisis via texting (TED2009)
Noreena Hertz,How to use experts — and when not to (TEDSalon London 2010)
Denise Herzing,Could we speak the language of dolphins? (TED2013)
James Heywood,The big idea my brother inspired (TEDMED 2009)
Danny Hillis,Back to the future (of 1994) (TED1994)  Understanding cancer through proteomics (TEDMED 2010)  The Internet could crash. We need a Plan B (TED2013)
Andy Hobsbawm,Do the green thing (TED2008)
Mellody Hobson,Color blind or color brave? (TED2014)
John Hockenberry,The painter and the pendulum (TED in the Field 2009)  We are all designers (TED2012)
John Hodgman,"Aliens, love — where are they? (TED2008)  Design, explained. (TED2012)"
Elizabeth Holmes,Lab testing reinvented (TEDMED2014)
David Holt,The joyful tradition of mountain music (TED2004)
Jim Holt,Why does the universe exist? (TED2014)
Carl Honoré,In praise of slowness (TEDGlobal 2005)
Rob Hopkins,Transition to a world without oil (TEDGlobal 2009)
Jack Horner,Building a dinosaur from a chicken (TED2011)
Philip K. Howard,Four ways to fix a broken legal system (TED2010)
Freeman A. Hrabowski III,4 pillars of college success in science (TED2013)
ShaoLan Hsueh,Learn to read Chinese ... with ease! (TED2013)
Sirena Huang,An 11-year-old's magical violin (TED2006)
Yasheng Huang,Does democracy stifle economic growth? (TEDGlobal 2011)
Arianna Huffington,How to succeed? Get more sleep (TEDWomen 2010)
Sophie Hunger,Songs of secrets and city lights (TEDGlobal 2009)
Sam Hyde,2070 Paradigm Shift (TEDxDrexel 2013)[18]
Mikko Hyppönen,"Fighting viruses, defending the net (TEDGlobal 2011)"
Nizar Ibrahim,How we unearthed the Spinosaurus (TEDYouth 2014)
Robin Ince,Science versus wonder? (TEDGlobal 2011)
Bjarke Ingels,3 warp-speed architecture tales (TEDGlobal 2009)
Dave Isay,Everyone around you has a story the world needs to hear (TED2015) TED Prize
Bektour Iskender,The crime-fighting power of cross-border investigative journalism (TED2022)
Garik Israelian,How spectroscopy could reveal alien life (TEDGlobal 2009)
Joi Ito,"Want to innovate? Become a ""now-ist"" (TED2014)"
Janet Iwasa,How animations can help scientists test a hypothesis (TED2014)
Sheena Iyengar,The art of choosing (TEDGlobal 2010)  How to make choosing easier (TEDSalon NY2011)
Pico Iyer,Where is home? (TEDGlobal 2013)  The art of stillness (TEDSalon NY2014)
Nina Jablonski,Skin color is an illusion (TED2009)
Jessica Jackley,"Poverty, money — and love (TEDGlobal 2010)"
Alison Jackson,An unusual glimpse at celebrity (TEDGlobal 2005)
Tim Jackson,An economic reality check (TEDGlobal 2010)
A.J. Jacobs,How healthy living nearly killed me (TEDMED 2011) The world's largest family reunion … we're all invited! (TEDActive 2014)
Mark Z. Jacobson,Debate: Does the world need nuclear energy? (TED2010)
Martin Jacques,Understanding the rise of China (TEDSalon London 2010)
Moriba Jah,AstriaGraph: world’s first crowdsourced Space Traffic Monitoring system (TED2019)
Emmanuel Jal,The music of a war child (TEDGlobal 2009)
Theo Jansen,"My creations, a new form of life (TED2007)"
Mae Jemison,Teach arts and sciences together (TED2002)
Mary Lou Jepsen,Could future devices read images from our brains? (TED2013)
Mitchell Joachim,"Don't build your home, grow it! (TED2010)"
Maz Jobrani,Did you hear the one about the Iranian-American? (TEDGlobal 2010)
Erik Johansson,Impossible photography (TEDSalon London Fall 2011)
Steven Johnson,"The Web as a city (TED2003)  How the ""ghost map"" helped end a killer disease (TEDSalon 2006)  Where good ideas come from (TEDGlobal 2010)"
Bill T. Jones,"The dancer, the singer, the cellist ... and a moment of creative magic (TED2015)"
Paul Tudor Jones,Why we need to rethink capitalism (TED2015)
Sarah Jones,"A one-woman global village (TED2009)  What does the future hold? 11 characters offer quirky answers (TED2014)  One woman, five characters, and a sex lesson from the future (TED2015)"
Chris Jordan,Turning powerful stats into art (TED2008)
Ellen Jorgensen,"Biohacking—you can do it, too (TED2013) What you need to know about CRISPR (TED2016)"
Bill Joy,"What I'm worried about, what I'm excited about (TED2006)"
JR,My wish: Use art to turn the world inside out (TED2011) TED Prize  One year of turning the world inside out (TED2012)
Olivia Judson,Sex Advice to All Creation (TED2005)[19]
Sebastian Junger,Why veterans miss war (TEDSalon NY2014)
Steve Jurvetson,Model rocketry (TED2007)
Nathaniel Kahn,"Scenes from ""My Architect"" (TED2002)"
Daniel Kahneman,The riddle of experience vs. memory (TED2010)
Maira Kalman,The illustrated woman (TED2007)
Dean Kamen,"To invent is to give (TED2002)  Luke, a new prosthetic arm for soldiers (TED2007)  The emotion behind invention (TEDMED 2009)"
William Kamkwamba,How I built a windmill (TEDGlobal 2007)  How I harnessed the wind (TEDGlobal 2009)
Kenneth Kamler,Medical miracle on Everest (TEDMED 2009)
Nancy Kanwisher,A neural portrait of the human mind (TED2014)
Zach Kaplan,Toys and materials from the future (TED2005)
Shekhar Kapur,We are the stories we tell ourselves (TEDIndia 2009)
The Karmapa,The technology of the heart (TEDIndia 2009)
Ben Katchor,Comics of bygone New York (TED2002)
Alan Kay,A powerful idea about ideas (TED2007)
Sarah Kay,If I should have a daughter ... (TED2011)
David Keith,A critical look at geoengineering against climate change (TEDSalon 2007 Hot Science)
David M. Kelley,Human-centered design (TED2002) How to build your creative confidence (TED2012)
Kevin Kelly,How technology evolves (TED2005)
Mark Kelly,Be passionate. Be courageous. Be your best. (TED2014)
Cynthia Kenyon,Experiments that hint of longer lives (TEDGlobal 2011)
Diébédo Francis Kéré,How to build with clay... and community (TEDCity2.0 2013)
Salman Khan,Let's use video to reinvent education (TED2011)
Shah Rukh Khan,"Thoughts on humanity, fame and love (TED2017)"
Wadah Khanfar,A historic moment in the Arab world (TED2011)
Parag Khanna,Mapping the future of countries (TEDGlobal 2009)
Chip Kidd,"Designing books is no laughing matter. OK, it is. (TED2012)  The art of first impressions — in design and life (TEDSalon NY2015)"
Beeban Kidron,The shared wonder of film (TEDSalon London Spring 2012)
Suki Kim,This is what it's like to teach in North Korea (TED2015)
Kaki King,"Playing ""Pink Noise"" on guitar (TED2008)"
Daniel Kish,How I use sonar to navigate the world (TED2015)
Jonathan Klein,Photos that changed the world (TED2010)
Joshua Klein,A thought experiment on the intelligence of crows (TED2008)
Naomi Klein,Addicted to risk (TEDWomen 2010)
Chris Kluwe,How augmented reality will change sports ... and build empathy (TED2014)
Hubertus Knabe,The dark secrets of a surveillance state (TEDSalon Berlin 2014)
Rob Knight,How our microbes make us who we are (TED2014)
Aaron Koblin,Visualizing ourselves ... with crowd-sourced data (TED2011)
Sally Kohn,Let's try emotional correctness (TED@NYC 2013) Don't like clickbait? Don't click (TED@NYC 2014)
Katlego Kai Kolanyane-Kesupile,How I'm bringing queer pride to my rural village (TEDGlobal2017)[20][21]
Daphne Koller,What we're learning from online education (TEDGlobal 2012)
Marc Koska,1.3m reasons to re-invent the syringe (TEDGlobal 2009)
Gary Kovacs,Tracking our online trackers (TED2012)
Shane Koyczan,To This Day ... for the bullied and beautiful (TED2013)
Ivan Krastev,Can democracy exist without trust? (TEDGlobal 2012)
Bernie Krause,The voice of the natural world (TEDGlobal 2013)
Sunitha Krishnan,The fight against sex slavery (TEDIndia 2009)
Jarrett J. Krosoczka,Why lunch ladies are heroes (TED@NYC 2014)
JoAnn Kuchera-Morin,Stunning data visualization in the AlloSphere (TED2009)
Vijay Kumar,Robots that fly ... and cooperate (TED2012)
James Howard Kunstler,The ghastly tragedy of the suburbs (TED2004)
Pamelia Kurstin,The untouchable music of the theremin (TED2002)
Ray Kurzweil,The accelerating power of technology (TED2005)  A university for the coming singularity (TED2009)  Get ready for hybrid thinking (TED2014)
Marc Kushner,Why the buildings of the future will be shaped by ... you (TED2014)
David Kwong,Two nerdy obsessions meet — and it's magic (TED2014)
Ishita Katal,Why You Don't Have to Wait Till You Grow Up (TED2016)
John La Grou,A Plug for Smart Power Outlets (TED2009)
Yang Lan,The generation that's remaking China (TEDGlobal 2011)
Dawn Landes,"A song for my hero, the woman who rowed into a hurricane (TED2015)"
Joe Landolina,This gel can make you stop bleeding instantly (TEDGlobal 2014)
David Lang,My underwater robot (TED2013)
Robert Lang,The math and magic of origami (TED2008)
Frans Lanting,The story of life in photographs (TED2005)  Photos that give voice to the animal kingdom (TED2014)
Brenda Laurel,Games for girls (TED1998)
Caroline Lavelle,Casting a spell on the cello (TED2005)
Tan Le,A headset that reads your brainwaves (TEDGlobal 2010)
Charles Leadbeater,The era of open innovation (TEDGlobal 2005)  Education innovation in the slums (TEDSalon London 2010)
Louise Leakey,A dig for humanity's origins (TED2008)
Richard Ledgett,The NSA responds to Edward Snowden's TED Talk (TED2014)
Hyeonseo Lee,My escape from North Korea (TED2013)
Jae Rhim Lee,My mushroom burial suit (TEDGlobal 2011)
Johnny Lee,Free or cheap Wii Remote hacks (TED2008)
Suzanne Lee,Grow your own clothes (TED2011)
Rob Legato,The art of creating awe (TEDGlobal 2012)
Joseph Lekuton,A parable for Kenya (TEDGlobal 2007)
Joel S. Levine,Why we need to go back to Mars (TED2009)
Jon Levy,What makes us influential? (TEDSalon NY2018)
Gayle Tzemach Lemmon,Meet the women fighting on the front lines of an American war (TEDWomen 2015)
Annie Lennox,Why I am an HIV/AIDS activist (TEDGlobal 2010)
Jaime Lerner,A song of the city (TED2007)
Elizabeth Lesser,"Take ""the Other"" to lunch (TEDWomen 2010)"
Lawrence Lessig,"Laws that choke creativity (TED2007)  We the People, and the Republic we must reclaim (TED2013)  The unstoppable walk to political reform (TED2014)"
Golan Levin,Software (as) art (TED2004)  Art that looks back at you (TED2009)
Janna Levin,The sound the universe makes (TED2011)
Emily Levine,A theory of everything (TED2002)
Steven Levitt,The freakonomics of crack dealing (TED2004)  Surprising stats about child carseats (TEDGlobal 2005)
Monica Lewinsky,The price of shame (TED2015)
Eric Lewis,Piano jazz that rocks (TED2009)  Chaos and harmony on piano (TED2009)
Sarah Lewis,Embrace the near win (TED2014)
Fei-Fei Li,How we're teaching computers to understand pictures (TED2015)
Daniel Libeskind,17 words of architectural inspiration (TED2009)
Manuel Lima,A Visual History of Human Knowledge (TED2015)
Charles Limb,Your brain on improv (TED2010)  Building the musical muscle (TED2011)
Henry Lin,"What we can learn from galaxies far, far away (TEDYouth 2013)"
Jennifer Lin,"Improvising on piano, aged 14 (TED2004)"
Elizabeth Lindsey,Curating humanity's heritage (TEDWomen 2010)
Hod Lipson,"Building ""self-aware"" robots (TED2007)"
Garrett Lisi,An 8-dimensional model of the universe (TED2008)
Liu Bolin,The invisible man (TED2013)
Eric Liu,Why ordinary people need to understand power (TEDCity2.0 2013)
John Lloyd,An inventory of the invisible (TEDGlobal 2009)  An animated tour of the invisible (TED-Ed 2012)
Elizabeth Loftus,The fiction of memory (TEDGlobal 2013)
Bjørn Lomborg,Global priorities bigger than climate change (TED2005)
Ross Lovegrove,"Organic design, inspired by nature (TED2005)"
Amory Lovins,Winning the oil endgame (TED2005)  A 40-year plan for energy (TEDSalon NY2012)
Nancy Lublin,Texting that saves lives (TED2012)
The LXD,"In the Internet age, dance evolves ... (TED2010)"
Greg Lynn,Organic algorithms in architecture (TED2005)
Ellen MacArthur,The surprising thing I learned sailing solo around the world (TED2015)
David Macaulay,An illustrated journey through Rome (TED2002)
Paul MacCready,Nature vs. humans (TED1998)  A flight on solar wings (TED2003)
Neil MacGregor,2600 years of history in one object (TEDGlobal 2011)
Tod Machover,Inventing instruments that unlock new music (TED2008)
Rebecca MacKinnon,Let's take back the Internet! (TEDGlobal 2011)
Natalie MacMaster,Cape Breton fiddling in reel time (TED2002)  Fiddling in reel time (TED2003)
Anne A. Madden,Meet the microscopic life in your home—and on your face (TED2017)
Joe Madiath,"Better toilets, better life (TEDGlobal 2014)"
John Maeda,"Designing for simplicity (TED2007)  How art, technology and design inform creative leaders (TEDGlobal 2012)"
Pattie Maes,Meet the SixthSense interaction (TED2009)
Vusi Mahlasela,"""Thula Mama"" (TEDGlobal 2007)  ""Woza"" (TEDGlobal 2007)"
Pia Mancini,How to upgrade democracy for the Internet era (TEDGlobal 2014)
Benoit Mandelbrot,Fractals and the art of roughness (TED2010)
Bob Mankoff,Anatomy of a New Yorker cartoon (TEDSalon NY2013)
Harish Manwani,Profit's not always the point (TED@BCG Singapore 2013)
Henry Markram,A brain in a supercomputer (TEDGlobal 2009)
Roman Mars,Why city flags may be the worst-designed thing you've never noticed (TED2015)
Will Marshall,Tiny satellites show us the Earth as it changes in near-real-time (TED2014)
Courtney E. Martin,This isn't her mother's feminism (TEDWomen 2010)
R.A. Mashelkar,Breakthrough designs for ultra-low-cost products (TEDIndia 2009)
Christopher E. Mason,"Discovering and designing genomes for Earth, Mars, and beyond (TEDMED 2015)"
Mike Matas,A next-generation digital book (TED2011)
Shaffi Mather,A new way to fight corruption (TEDIndia 2009)
Rob May,Your Human Firewall – The Answer to the Cyber Security Problem (TEDxWoking 2017)
Thom Mayne,How architecture can connect us (TED2005)
Mariana Mazzucato,"Government — investor, risk-taker, innovator (TEDGlobal 2013)"
Andrew McAfee,What will future jobs look like? (TED2013)
David McCandless,The beauty of data visualization (TEDGlobal 2010)
Stanley McChrystal,"Listen, learn ... then lead (TED2011)  The military case for sharing knowledge (TED2014)"
Scott McCloud,The visual magic of comics (TED2005)
William McDonough,Cradle to cradle design (TED2005)
Jane McGonigal,Gaming can make a better world (TED2010)  The game that can give you 10 extra years of life (TEDGlobal 2012)  Massively multi-player… thumb-wrestling? (TEDGlobal 2013)
Kelly McGonigal,How to make stress your friend (TEDGlobal 2013)
Wayne McGregor,A choreographer's creative process in real time (TEDGlobal 2012)
Nellie McKay,"""Clonie"" (TED2008)  ""Mother of Pearl,"" ""If I Had You"" (TED2008)  ""The Dog Song"" (TED2008)"
Erin McKean,"The joy of lexicography (TED2007)  Go ahead, make up new words! (TEDYouth 2014)"
John McWhorter,Txtng is killing language. JK!!! (TED2013)
Alexa Meade,Your body is my canvas (TEDGlobal 2013)
Kamal Meattle,How to grow fresh air (TED2009)
Christien Meindertsma,How pig parts make the world turn (TEDGlobal 2010)
Natalie Merchant,Singing old poems to life (TED2010)
Michael Merzenich,Growing evidence of brain plasticity (TED2004)
Miriah Meyer,Science visualization (TED2013)
Bethany C. Meyers,Body neutrality (TEDx BethuneStreetWomen 2018)
Raul Midón,"""Tembererana"" (TED2007)  ""Peace on Earth"" (TED2007)"
Gero Miesenboeck,Re-engineering the brain (TEDGlobal 2010)
Anne Milgram,Why smart statistics are the key to fighting crime (TED@BCG San Francisco 2013)
Chris Milk,How virtual reality can create the ultimate empathy machine (TED2015)
Vivienne Ming,Making a better person (TEDMED2015)
Marvin Minsky,Health and the human mind (TED2003)
Anupam Mishra,The ancient ingenuity of water harvesting (TEDIndia 2009)
Pranav Mistry,Meet the SixthSense interaction (TED2009)  The thrilling potential of SixthSense technology (TEDIndia 2009)
Pat Mitchell,So we leaned in ... now what? (TEDWomen 2013)
Sugata Mitra,The child-driven education (TEDGlobal 2010)  Build a School in the Cloud (TED2013) TED Prize
Isaac Mizrahi,Fashion and creativity (TED2008)
Kees Moeliker,How a dead duck changed my life (TED2013)
Paul Moller,My dream of a flying car (TED2004)
Peter Molyneux,"Meet Milo, the virtual boy (TEDGlobal 2010)"
George Monbiot,"For more wonder, rewild the world (TEDGlobal 2013)"
Read Montague,"What we're learning from 5,000 brains (TEDGlobal 2012)"
Jon Mooallem,How the teddy bear taught us compassion (TED2014)
Vincent Moon,Hidden music rituals around the world (TEDGlobal 2014)
Charles Moore,Seas of plastic (TED2009)
Wes Moore,How to talk to veterans about the war (TEDSalon NY2014)
Elaine Morgan,I believe we evolved from aquatic apes (TEDGlobal 2009)
Evgeny Morozov,How the Net aids dictatorships (TEDGlobal 2009)
Holly Morris,Why stay in Chernobyl? Because it's home (TEDGlobal 2013)
Michael Moschen,Juggling as art ... and science (TED2002)
Dambisa Moyo,Is China the new idol for emerging economies? (TEDGlobal 2013)
Patience Mthunzi-Kufa,Could we cure HIV with lasers? (TED2015)
Geoff Mulgan,"Post-crash, investing in a better world (TEDGlobal 2009)  A short intro to the Studio School (TEDGlobal 2011)"
Sendhil Mullainathan,Solving social problems with a nudge (TEDIndia 2009)
Aimee Mullins,Changing my legs - and my mindset (TED1998)  My 12 pairs of legs (TED2009)  The opportunity of adversity (TEDMED 2009)
Kary Mullis,Play! Experiment! Discover! (TED2002)  A next-gen cure for killer infections (TED2009)
Vik Muniz,"Art with wire, sugar, chocolate and string (TED2003)"
Randall Munroe,"Comics that ask ""what if?"" (TED2014)"
Alaa Murabit,What my religion really says about women (TEDWomen 2015)
Elizabeth Murchison,Fighting a contagious cancer (TEDGlobal 2011)
Arunachalam Muruganantham,How I started a sanitary napkin revolution! (TED@Bangalore 2012)
Elon Musk,"The mind behind Tesla, SpaceX, SolarCity ... (TED2013)"
Kasiva Mutua,How I use the drum to tell my story (TEDGlobal 2017)[22][23]
Boniface Mwangi,The day I stood up alone (TEDGlobal 2014)
Andrew Mwenda,Aid for Africa? No thanks. (TEDGlobal 2007)
Nathan Myhrvold,"Archeology, animal photography, BBQ ... (TED2007)  Could this laser zap malaria? (TED2010)  Cooking as never seen before (TED2011)"
James Nachtwey,My wish: Let my photographs bear witness (TED2007) TED Prize  Moving photos of extreme drug-resistant TB (TED Prize Wish 2008)
Ethan Nadelmann,Why we need to end the War on Drugs (TEDGlobal 2014)
Nalini Nadkarni,Conserving the canopy (TED2009)  Life science in prison (TED2010)
Radhika Nagpal,Harnessing the intelligence of the collective (TED2017)
Euvin Naidoo,Why invest in Africa (TEDGlobal 2007)
Loretta Napoleoni,The intricate economics of terrorism (TEDGlobal 2009)
Parikipandla Narahari,Betiya (TED2019)
Ajit Narayanan,A word game to communicate in any language (TED2013)
Naturally 7,A full-band beatbox (TED2009)
Maajid Nawaz,A global culture to fight extremism (TEDGlobal 2011)
Jimmy Nelson,Gorgeous portraits of the world's vanishing people (TEDGlobal 2014)
Nicholas Negroponte,"5 predictions, from 1984 (TED1984)  One Laptop per Child (TED2006)  Taking OLPC to Colombia (TED in the Field 2008)  A 30-year history of the future (TED2014)"
Shirin Neshat,Art in exile (TEDWomen 2010)
Robert Neuwirth,The hidden world of shadow cities (TEDGlobal 2005)  The power of the informal economy (TEDGlobal 2012)
Thandie Newton,"Embracing otherness, embracing myself (TEDGlobal 2011)"
Paul Nicklen,Tales of ice-bound wonderlands (TED2011)
Miguel Nicolelis,"A monkey that controls a robot with its thoughts. No, really. (TEDMED 2012)  Brain-to-brain communication has arrived. How we did it (TEDGlobal 2014)"
Nandan Nilekani,Ideas for India's future (TED2009)
Sheila Nirenberg,A prosthetic eye to treat blindness (TEDMED 2011)
Don Norman,3 ways good design makes you happy (TED2003)
Woody Norris,Hypersonic sound and other inventions (TED2004)
Peter Norvig,"The 100,000-student classroom (TED2012)"
Jehane Noujaim,My wish: A global day of film (TED2006) TED Prize
Beth Noveck,Demand a more open-source government (TEDGlobal 2012)
Jacqueline Novogratz,Invest in Africa's own solutions (TEDGlobal 2005)  Patient capitalism (TEDGlobal 2007)  An escape from poverty (TED2009)  A third way to think about aid (TED@State 2009)  Inspiring a life of immersion (TEDWomen 2010)
Sherwin Nuland,How electroshock therapy changed me (TED2001)  The extraordinary power of ordinary people (TED2003)
Diana Nyad,"Extreme swimming with the world's most dangerous jellyfish (TEDMED 2011)  Never, ever give up (TEDWomen 2013)"
Joseph Nye,Global power shifts (TEDGlobal 2010)
Sharmeen Obaid-Chinoy,Inside a school for suicide bombers (TED2010)
Eddie Obeng,Smart failure for a fast-changing world (TEDGlobal 2012)
Fabian Oefner,Psychedelic science (TEDGlobal 2013)
Alexis Ohanian,How to make a splash in social media (TEDIndia 2009)
Ory Okolloh,How I became an activist (TEDGlobal 2007)
Ngozi Okonjo-Iweala,Want to help Africa? Do business here (TED2007)  Aid versus trade (TEDGlobal 2007)
Jamie Oliver,Teach every child about food (TED2010) TED Prize
Rebecca Onie,What if our healthcare system kept us healthy? (TEDMED 2012)
Naomi Oreskes,Why we should trust scientists (TEDSalon NY2014)
Kate Orff,Reviving New York's rivers — with oysters! (TEDWomen 2010)
Dean Ornish,Healing through diet (TED2004)  The killer American diet that's sweeping the planet (TED2006)  Your genes are not your fate (TED2008)
Emily Oster,Flip your thinking on AIDS in Africa (TED2007)
Adam Ostrow,After your final status update (TEDGlobal 2011)
Seyi Oyesola,A hospital tour in Nigeria (TEDGlobal 2007)
